{'Mean Episode Return': Array(17.275057, dtype=float32), 'Mean Episode Length': Array(55.67547, dtype=float32)} step=9164800
{'Mean Episode Return': Array(17.91699, dtype=float32), 'Mean Episode Length': Array(56.80586, dtype=float32)} step=9216000
{'Mean Episode Return': Array(18.686031, dtype=float32), 'Mean Episode Length': Array(56.982975, dtype=float32)} step=9267200
{'Mean Episode Return': Array(18.795265, dtype=float32), 'Mean Episode Length': Array(57.697987, dtype=float32)} step=9318400
{'Mean Episode Return': Array(19.108208, dtype=float32), 'Mean Episode Length': Array(57.202087, dtype=float32)} step=9369600
{'Mean Episode Return': Array(19.479021, dtype=float32), 'Mean Episode Length': Array(58.38634, dtype=float32)} step=9420800
{'Mean Episode Return': Array(19.893011, dtype=float32), 'Mean Episode Length': Array(57.976322, dtype=float32)} step=9472000
{'Mean Episode Return': Array(20.313177, dtype=float32), 'Mean Episode Length': Array(58.005886, dtype=float32)} step=9523200
{'Mean Episode Return': Array(20.616308, dtype=float32), 'Mean Episode Length': Array(59.552635, dtype=float32)} step=9574400
{'Mean Episode Return': Array(20.86329, dtype=float32), 'Mean Episode Length': Array(59.668964, dtype=float32)} step=9625600
{'Mean Episode Return': Array(21.284142, dtype=float32), 'Mean Episode Length': Array(59.580074, dtype=float32)} step=9676800
{'Mean Episode Return': Array(21.23806, dtype=float32), 'Mean Episode Length': Array(60.661037, dtype=float32)} step=9728000
{'Mean Episode Return': Array(21.519352, dtype=float32), 'Mean Episode Length': Array(61.698795, dtype=float32)} step=9779200
{'Mean Episode Return': Array(21.891647, dtype=float32), 'Mean Episode Length': Array(61.319324, dtype=float32)} step=9830400
{'Mean Episode Return': Array(22.4954, dtype=float32), 'Mean Episode Length': Array(62.247314, dtype=float32)} step=9881600
{'Mean Episode Return': Array(22.53189, dtype=float32), 'Mean Episode Length': Array(61.741615, dtype=float32)} step=9932800
{'Mean Episode Return': Array(23.562813, dtype=float32), 'Mean Episode Length': Array(63.466248, dtype=float32)} step=9984000
{'Mean Episode Return': Array(23.46319, dtype=float32), 'Mean Episode Length': Array(63.55122, dtype=float32)} step=10035200
{'Mean Episode Return': Array(23.35379, dtype=float32), 'Mean Episode Length': Array(62.605877, dtype=float32)} step=10086400
{'Mean Episode Return': Array(23.774832, dtype=float32), 'Mean Episode Length': Array(63.41264, dtype=float32)} step=10137600
{'Mean Episode Return': Array(24.16585, dtype=float32), 'Mean Episode Length': Array(63.910355, dtype=float32)} step=10188800
