{'Mean Episode Return': Array(23.19643, dtype=float32), 'Mean Episode Length': Array(55.3914, dtype=float32)} step=7526400
{'Mean Episode Return': Array(23.205399, dtype=float32), 'Mean Episode Length': Array(55.42065, dtype=float32)} step=7577600
{'Mean Episode Return': Array(23.205458, dtype=float32), 'Mean Episode Length': Array(54.83423, dtype=float32)} step=7628800
{'Mean Episode Return': Array(23.427416, dtype=float32), 'Mean Episode Length': Array(56.784687, dtype=float32)} step=7680000
{'Mean Episode Return': Array(22.722612, dtype=float32), 'Mean Episode Length': Array(55.697994, dtype=float32)} step=7731200
{'Mean Episode Return': Array(21.848606, dtype=float32), 'Mean Episode Length': Array(55.147312, dtype=float32)} step=7782400
{'Mean Episode Return': Array(19.039778, dtype=float32), 'Mean Episode Length': Array(54.026768, dtype=float32)} step=7833600
{'Mean Episode Return': Array(18.268969, dtype=float32), 'Mean Episode Length': Array(54.112885, dtype=float32)} step=7884800
{'Mean Episode Return': Array(18.97254, dtype=float32), 'Mean Episode Length': Array(54.288822, dtype=float32)} step=7936000
{'Mean Episode Return': Array(17.59076, dtype=float32), 'Mean Episode Length': Array(53.008408, dtype=float32)} step=7987200
{'Mean Episode Return': Array(15.931021, dtype=float32), 'Mean Episode Length': Array(51.226562, dtype=float32)} step=8038400
{'Mean Episode Return': Array(14.904172, dtype=float32), 'Mean Episode Length': Array(50.943787, dtype=float32)} step=8089600
{'Mean Episode Return': Array(13.803995, dtype=float32), 'Mean Episode Length': Array(50.10216, dtype=float32)} step=8140800
{'Mean Episode Return': Array(13.0142355, dtype=float32), 'Mean Episode Length': Array(50.12363, dtype=float32)} step=8192000
{'Mean Episode Return': Array(14.211612, dtype=float32), 'Mean Episode Length': Array(51.24067, dtype=float32)} step=8243200
{'Mean Episode Return': Array(12.403776, dtype=float32), 'Mean Episode Length': Array(49.703777, dtype=float32)} step=8294400
{'Mean Episode Return': Array(12.111169, dtype=float32), 'Mean Episode Length': Array(50.081577, dtype=float32)} step=8345600
{'Mean Episode Return': Array(11.25831, dtype=float32), 'Mean Episode Length': Array(48.654335, dtype=float32)} step=8396800
{'Mean Episode Return': Array(10.970768, dtype=float32), 'Mean Episode Length': Array(48.85809, dtype=float32)} step=8448000
{'Mean Episode Return': Array(11.76931, dtype=float32), 'Mean Episode Length': Array(49.126175, dtype=float32)} step=8499200
{'Mean Episode Return': Array(11.511112, dtype=float32), 'Mean Episode Length': Array(47.94879, dtype=float32)} step=8550400
{'Mean Episode Return': Array(9.994045, dtype=float32), 'Mean Episode Length': Array(46.2489, dtype=float32)} step=8601600
{'Mean Episode Return': Array(7.6377144, dtype=float32), 'Mean Episode Length': Array(44.304043, dtype=float32)} step=8652800
{'Mean Episode Return': Array(7.0990167, dtype=float32), 'Mean Episode Length': Array(44.634167, dtype=float32)} step=8704000
{'Mean Episode Return': Array(6.350883, dtype=float32), 'Mean Episode Length': Array(43.875423, dtype=float32)} step=8755200
{'Mean Episode Return': Array(6.2194185, dtype=float32), 'Mean Episode Length': Array(43.51113, dtype=float32)} step=8806400
{'Mean Episode Return': Array(6.638767, dtype=float32), 'Mean Episode Length': Array(45.38549, dtype=float32)} step=8857600
{'Mean Episode Return': Array(6.4118266, dtype=float32), 'Mean Episode Length': Array(44.766838, dtype=float32)} step=8908800
{'Mean Episode Return': Array(6.3683558, dtype=float32), 'Mean Episode Length': Array(44.977295, dtype=float32)} step=8960000
{'Mean Episode Return': Array(6.300641, dtype=float32), 'Mean Episode Length': Array(45.121693, dtype=float32)} step=9011200
{'Mean Episode Return': Array(7.2681694, dtype=float32), 'Mean Episode Length': Array(46.13309, dtype=float32)} step=9062400
{'Mean Episode Return': Array(7.5184946, dtype=float32), 'Mean Episode Length': Array(45.85481, dtype=float32)} step=9113600
{'Mean Episode Return': Array(8.070608, dtype=float32), 'Mean Episode Length': Array(46.254917, dtype=float32)} step=9164800
{'Mean Episode Return': Array(8.319097, dtype=float32), 'Mean Episode Length': Array(46.287964, dtype=float32)} step=9216000
{'Mean Episode Return': Array(8.725379, dtype=float32), 'Mean Episode Length': Array(47.006325, dtype=float32)} step=9267200
{'Mean Episode Return': Array(8.778213, dtype=float32), 'Mean Episode Length': Array(46.636696, dtype=float32)} step=9318400
{'Mean Episode Return': Array(8.8168125, dtype=float32), 'Mean Episode Length': Array(47.57385, dtype=float32)} step=9369600
{'Mean Episode Return': Array(9.475168, dtype=float32), 'Mean Episode Length': Array(48.646835, dtype=float32)} step=9420800
{'Mean Episode Return': Array(10.110195, dtype=float32), 'Mean Episode Length': Array(47.371616, dtype=float32)} step=9472000
{'Mean Episode Return': Array(10.515965, dtype=float32), 'Mean Episode Length': Array(48.402275, dtype=float32)} step=9523200
{'Mean Episode Return': Array(11.118084, dtype=float32), 'Mean Episode Length': Array(48.03545, dtype=float32)} step=9574400
