{'Mean Episode Return': Array(23.681406, dtype=float32), 'Mean Episode Length': Array(70.084656, dtype=float32)} step=28467200
{'Mean Episode Return': Array(23.349857, dtype=float32), 'Mean Episode Length': Array(69.42513, dtype=float32)} step=28672000
{'Mean Episode Return': Array(23.71571, dtype=float32), 'Mean Episode Length': Array(70.4946, dtype=float32)} step=28876800
{'Mean Episode Return': Array(23.577658, dtype=float32), 'Mean Episode Length': Array(69.39125, dtype=float32)} step=29081600
{'Mean Episode Return': Array(23.392746, dtype=float32), 'Mean Episode Length': Array(69.73769, dtype=float32)} step=29286400
{'Mean Episode Return': Array(23.240341, dtype=float32), 'Mean Episode Length': Array(69.06729, dtype=float32)} step=29491200
{'Mean Episode Return': Array(23.797338, dtype=float32), 'Mean Episode Length': Array(69.433914, dtype=float32)} step=29696000
{'Mean Episode Return': Array(23.552198, dtype=float32), 'Mean Episode Length': Array(69.3766, dtype=float32)} step=29900800
{'Mean Episode Return': Array(23.687313, dtype=float32), 'Mean Episode Length': Array(69.908905, dtype=float32)} step=30105600
{'Mean Episode Return': Array(23.834682, dtype=float32), 'Mean Episode Length': Array(70.34512, dtype=float32)} step=30310400
{'Mean Episode Return': Array(23.933863, dtype=float32), 'Mean Episode Length': Array(70.97329, dtype=float32)} step=30515200
{'Mean Episode Return': Array(23.7694, dtype=float32), 'Mean Episode Length': Array(69.81846, dtype=float32)} step=30720000
{'Mean Episode Return': Array(23.880554, dtype=float32), 'Mean Episode Length': Array(70.29459, dtype=float32)} step=30924800
{'Mean Episode Return': Array(23.982716, dtype=float32), 'Mean Episode Length': Array(70.192665, dtype=float32)} step=31129600
{'Mean Episode Return': Array(24.244226, dtype=float32), 'Mean Episode Length': Array(70.87816, dtype=float32)} step=31334400
{'Mean Episode Return': Array(24.318228, dtype=float32), 'Mean Episode Length': Array(71.425354, dtype=float32)} step=31539200
{'Mean Episode Return': Array(24.342665, dtype=float32), 'Mean Episode Length': Array(70.87782, dtype=float32)} step=31744000
