{'Mean Episode Return': Array(0.01210281, dtype=float32), 'Mean Episode Length': Array(63.701054, dtype=float32)} step=34816000
{'Mean Episode Return': Array(0.01223973, dtype=float32), 'Mean Episode Length': Array(63.84347, dtype=float32)} step=35020800
{'Mean Episode Return': Array(0.01340253, dtype=float32), 'Mean Episode Length': Array(65.87669, dtype=float32)} step=35225600
{'Mean Episode Return': Array(0.01359502, dtype=float32), 'Mean Episode Length': Array(67.09597, dtype=float32)} step=35430400
{'Mean Episode Return': Array(0.01372912, dtype=float32), 'Mean Episode Length': Array(66.39382, dtype=float32)} step=35635200
{'Mean Episode Return': Array(0.01413448, dtype=float32), 'Mean Episode Length': Array(67.44751, dtype=float32)} step=35840000
{'Mean Episode Return': Array(0.01519984, dtype=float32), 'Mean Episode Length': Array(67.56886, dtype=float32)} step=36044800
{'Mean Episode Return': Array(0.01353726, dtype=float32), 'Mean Episode Length': Array(67.586334, dtype=float32)} step=36249600
{'Mean Episode Return': Array(0.01565516, dtype=float32), 'Mean Episode Length': Array(69.69072, dtype=float32)} step=36454400
{'Mean Episode Return': Array(0.01278023, dtype=float32), 'Mean Episode Length': Array(69.37521, dtype=float32)} step=36659200
{'Mean Episode Return': Array(0.01475928, dtype=float32), 'Mean Episode Length': Array(70.20739, dtype=float32)} step=36864000
{'Mean Episode Return': Array(0.01187283, dtype=float32), 'Mean Episode Length': Array(69.82022, dtype=float32)} step=37068800
{'Mean Episode Return': Array(0.01476164, dtype=float32), 'Mean Episode Length': Array(70.69887, dtype=float32)} step=37273600
{'Mean Episode Return': Array(0.01177977, dtype=float32), 'Mean Episode Length': Array(72.65479, dtype=float32)} step=37478400
{'Mean Episode Return': Array(0.01164162, dtype=float32), 'Mean Episode Length': Array(71.56981, dtype=float32)} step=37683200
{'Mean Episode Return': Array(0.01309763, dtype=float32), 'Mean Episode Length': Array(71.31629, dtype=float32)} step=37888000
{'Mean Episode Return': Array(0.01333223, dtype=float32), 'Mean Episode Length': Array(69.488235, dtype=float32)} step=38092800
{'Mean Episode Return': Array(0.0137932, dtype=float32), 'Mean Episode Length': Array(68.88363, dtype=float32)} step=38297600
{'Mean Episode Return': Array(0.01490838, dtype=float32), 'Mean Episode Length': Array(69.300735, dtype=float32)} step=38502400
{'Mean Episode Return': Array(0.01423169, dtype=float32), 'Mean Episode Length': Array(69.138145, dtype=float32)} step=38707200
{'Mean Episode Return': Array(0.01105556, dtype=float32), 'Mean Episode Length': Array(67.73954, dtype=float32)} step=38912000
