{'Mean Episode Return': Array(2.289991, dtype=float32), 'Mean Episode Length': Array(62.987923, dtype=float32)} step=7321600
{'Mean Episode Return': Array(2.2662075, dtype=float32), 'Mean Episode Length': Array(62.981503, dtype=float32)} step=7372800
{'Mean Episode Return': Array(2.178792, dtype=float32), 'Mean Episode Length': Array(63.093525, dtype=float32)} step=7424000
{'Mean Episode Return': Array(2.2942948, dtype=float32), 'Mean Episode Length': Array(61.832714, dtype=float32)} step=7475200
{'Mean Episode Return': Array(2.2862036, dtype=float32), 'Mean Episode Length': Array(63.78439, dtype=float32)} step=7526400
{'Mean Episode Return': Array(2.256944, dtype=float32), 'Mean Episode Length': Array(62.85122, dtype=float32)} step=7577600
{'Mean Episode Return': Array(2.3162596, dtype=float32), 'Mean Episode Length': Array(62.407734, dtype=float32)} step=7628800
{'Mean Episode Return': Array(2.3559306, dtype=float32), 'Mean Episode Length': Array(62.70595, dtype=float32)} step=7680000
{'Mean Episode Return': Array(2.274129, dtype=float32), 'Mean Episode Length': Array(61.86683, dtype=float32)} step=7731200
{'Mean Episode Return': Array(2.2405512, dtype=float32), 'Mean Episode Length': Array(61.95324, dtype=float32)} step=7782400
{'Mean Episode Return': Array(2.2860026, dtype=float32), 'Mean Episode Length': Array(61.380894, dtype=float32)} step=7833600
{'Mean Episode Return': Array(2.277335, dtype=float32), 'Mean Episode Length': Array(62.140438, dtype=float32)} step=7884800
{'Mean Episode Return': Array(2.2108192, dtype=float32), 'Mean Episode Length': Array(63.048508, dtype=float32)} step=7936000
{'Mean Episode Return': Array(2.3560545, dtype=float32), 'Mean Episode Length': Array(63.086273, dtype=float32)} step=7987200
{'Mean Episode Return': Array(2.3524354, dtype=float32), 'Mean Episode Length': Array(63.482925, dtype=float32)} step=8038400
{'Mean Episode Return': Array(2.3765647, dtype=float32), 'Mean Episode Length': Array(62.670704, dtype=float32)} step=8089600
{'Mean Episode Return': Array(2.3058736, dtype=float32), 'Mean Episode Length': Array(63.11039, dtype=float32)} step=8140800
{'Mean Episode Return': Array(2.2982512, dtype=float32), 'Mean Episode Length': Array(63.787952, dtype=float32)} step=8192000
{'Mean Episode Return': Array(2.3852196, dtype=float32), 'Mean Episode Length': Array(63.195545, dtype=float32)} step=8243200
{'Mean Episode Return': Array(2.2840874, dtype=float32), 'Mean Episode Length': Array(61.65271, dtype=float32)} step=8294400
{'Mean Episode Return': Array(2.3088245, dtype=float32), 'Mean Episode Length': Array(62.136852, dtype=float32)} step=8345600
{'Mean Episode Return': Array(2.3364217, dtype=float32), 'Mean Episode Length': Array(62.656776, dtype=float32)} step=8396800
{'Mean Episode Return': Array(2.4139261, dtype=float32), 'Mean Episode Length': Array(64.79499, dtype=float32)} step=8448000
{'Mean Episode Return': Array(2.2721646, dtype=float32), 'Mean Episode Length': Array(62.411983, dtype=float32)} step=8499200
{'Mean Episode Return': Array(2.3012648, dtype=float32), 'Mean Episode Length': Array(62.03507, dtype=float32)} step=8550400
{'Mean Episode Return': Array(2.3412268, dtype=float32), 'Mean Episode Length': Array(62.099625, dtype=float32)} step=8601600
{'Mean Episode Return': Array(2.3516517, dtype=float32), 'Mean Episode Length': Array(63.450123, dtype=float32)} step=8652800
{'Mean Episode Return': Array(2.251825, dtype=float32), 'Mean Episode Length': Array(62.88286, dtype=float32)} step=8704000
{'Mean Episode Return': Array(2.3374228, dtype=float32), 'Mean Episode Length': Array(62.264633, dtype=float32)} step=8755200
{'Mean Episode Return': Array(2.3484006, dtype=float32), 'Mean Episode Length': Array(62.379883, dtype=float32)} step=8806400
{'Mean Episode Return': Array(2.2900481, dtype=float32), 'Mean Episode Length': Array(62.506176, dtype=float32)} step=8857600
{'Mean Episode Return': Array(2.3680272, dtype=float32), 'Mean Episode Length': Array(62.5534, dtype=float32)} step=8908800
{'Mean Episode Return': Array(2.2388089, dtype=float32), 'Mean Episode Length': Array(62.700886, dtype=float32)} step=8960000
{'Mean Episode Return': Array(2.313744, dtype=float32), 'Mean Episode Length': Array(62.845108, dtype=float32)} step=9011200
{'Mean Episode Return': Array(2.3940482, dtype=float32), 'Mean Episode Length': Array(63.46715, dtype=float32)} step=9062400
{'Mean Episode Return': Array(2.2946534, dtype=float32), 'Mean Episode Length': Array(62.81754, dtype=float32)} step=9113600
{'Mean Episode Return': Array(2.3279805, dtype=float32), 'Mean Episode Length': Array(61.7943, dtype=float32)} step=9164800
{'Mean Episode Return': Array(2.292512, dtype=float32), 'Mean Episode Length': Array(62.40096, dtype=float32)} step=9216000
{'Mean Episode Return': Array(2.3565173, dtype=float32), 'Mean Episode Length': Array(62.432964, dtype=float32)} step=9267200
{'Mean Episode Return': Array(2.222428, dtype=float32), 'Mean Episode Length': Array(62.06754, dtype=float32)} step=9318400
{'Mean Episode Return': Array(2.271687, dtype=float32), 'Mean Episode Length': Array(61.83619, dtype=float32)} step=9369600
{'Mean Episode Return': Array(2.3353982, dtype=float32), 'Mean Episode Length': Array(61.94875, dtype=float32)} step=9420800
{'Mean Episode Return': Array(2.2943084, dtype=float32), 'Mean Episode Length': Array(61.18274, dtype=float32)} step=9472000
{'Mean Episode Return': Array(2.336062, dtype=float32), 'Mean Episode Length': Array(63.72189, dtype=float32)} step=9523200
{'Mean Episode Return': Array(2.2671666, dtype=float32), 'Mean Episode Length': Array(63.595238, dtype=float32)} step=9574400
{'Mean Episode Return': Array(2.3713086, dtype=float32), 'Mean Episode Length': Array(63.32924, dtype=float32)} step=9625600
{'Mean Episode Return': Array(2.2716243, dtype=float32), 'Mean Episode Length': Array(62.987713, dtype=float32)} step=9676800
{'Mean Episode Return': Array(2.2452226, dtype=float32), 'Mean Episode Length': Array(62.039265, dtype=float32)} step=9728000
{'Mean Episode Return': Array(2.2252874, dtype=float32), 'Mean Episode Length': Array(62.344704, dtype=float32)} step=9779200
{'Mean Episode Return': Array(2.237721, dtype=float32), 'Mean Episode Length': Array(63.48889, dtype=float32)} step=9830400
{'Mean Episode Return': Array(2.390712, dtype=float32), 'Mean Episode Length': Array(63.65802, dtype=float32)} step=9881600
{'Mean Episode Return': Array(2.1759458, dtype=float32), 'Mean Episode Length': Array(60.71216, dtype=float32)} step=9932800
{'Mean Episode Return': Array(2.2481549, dtype=float32), 'Mean Episode Length': Array(62.49877, dtype=float32)} step=9984000
{'Mean Episode Return': Array(2.3062532, dtype=float32), 'Mean Episode Length': Array(62.647205, dtype=float32)} step=10035200
{'Mean Episode Return': Array(2.2440982, dtype=float32), 'Mean Episode Length': Array(62.13756, dtype=float32)} step=10086400
{'Mean Episode Return': Array(2.1950452, dtype=float32), 'Mean Episode Length': Array(62.48259, dtype=float32)} step=10137600
{'Mean Episode Return': Array(2.3320727, dtype=float32), 'Mean Episode Length': Array(61.93697, dtype=float32)} step=10188800
{'Mean Episode Return': Array(2.212487, dtype=float32), 'Mean Episode Length': Array(61.36209, dtype=float32)} step=10240000
