{'Mean Episode Return': Array(22.491163, dtype=float32), 'Mean Episode Length': Array(71.704765, dtype=float32)} step=35020800
{'Mean Episode Return': Array(22.144875, dtype=float32), 'Mean Episode Length': Array(70.69148, dtype=float32)} step=35225600
{'Mean Episode Return': Array(22.019464, dtype=float32), 'Mean Episode Length': Array(70.48101, dtype=float32)} step=35430400
{'Mean Episode Return': Array(22.651745, dtype=float32), 'Mean Episode Length': Array(72.07794, dtype=float32)} step=35635200
{'Mean Episode Return': Array(22.529207, dtype=float32), 'Mean Episode Length': Array(71.87742, dtype=float32)} step=35840000
{'Mean Episode Return': Array(22.235504, dtype=float32), 'Mean Episode Length': Array(71.33968, dtype=float32)} step=36044800
{'Mean Episode Return': Array(22.845396, dtype=float32), 'Mean Episode Length': Array(72.13282, dtype=float32)} step=36249600
{'Mean Episode Return': Array(22.586243, dtype=float32), 'Mean Episode Length': Array(72.52134, dtype=float32)} step=36454400
{'Mean Episode Return': Array(22.261728, dtype=float32), 'Mean Episode Length': Array(71.77466, dtype=float32)} step=36659200
{'Mean Episode Return': Array(22.237452, dtype=float32), 'Mean Episode Length': Array(71.42902, dtype=float32)} step=36864000
{'Mean Episode Return': Array(22.650743, dtype=float32), 'Mean Episode Length': Array(72.69534, dtype=float32)} step=37068800
{'Mean Episode Return': Array(22.484821, dtype=float32), 'Mean Episode Length': Array(72.203926, dtype=float32)} step=37273600
{'Mean Episode Return': Array(22.471941, dtype=float32), 'Mean Episode Length': Array(71.965675, dtype=float32)} step=37478400
{'Mean Episode Return': Array(22.94485, dtype=float32), 'Mean Episode Length': Array(73.79922, dtype=float32)} step=37683200
{'Mean Episode Return': Array(22.851675, dtype=float32), 'Mean Episode Length': Array(73.71769, dtype=float32)} step=37888000
{'Mean Episode Return': Array(22.833364, dtype=float32), 'Mean Episode Length': Array(73.91987, dtype=float32)} step=38092800
{'Mean Episode Return': Array(22.795723, dtype=float32), 'Mean Episode Length': Array(73.103035, dtype=float32)} step=38297600
{'Mean Episode Return': Array(23.183403, dtype=float32), 'Mean Episode Length': Array(74.16649, dtype=float32)} step=38502400
{'Mean Episode Return': Array(22.495949, dtype=float32), 'Mean Episode Length': Array(72.533424, dtype=float32)} step=38707200
{'Mean Episode Return': Array(22.662058, dtype=float32), 'Mean Episode Length': Array(72.84993, dtype=float32)} step=38912000
{'Mean Episode Return': Array(22.755268, dtype=float32), 'Mean Episode Length': Array(73.13169, dtype=float32)} step=39116800
{'Mean Episode Return': Array(22.645988, dtype=float32), 'Mean Episode Length': Array(72.72232, dtype=float32)} step=39321600
{'Mean Episode Return': Array(22.756966, dtype=float32), 'Mean Episode Length': Array(72.95267, dtype=float32)} step=39526400
{'Mean Episode Return': Array(23.13787, dtype=float32), 'Mean Episode Length': Array(73.210655, dtype=float32)} step=39731200
{'Mean Episode Return': Array(22.986015, dtype=float32), 'Mean Episode Length': Array(73.15192, dtype=float32)} step=39936000
{'Mean Episode Return': Array(23.382727, dtype=float32), 'Mean Episode Length': Array(74.48734, dtype=float32)} step=40140800
{'Mean Episode Return': Array(23.075756, dtype=float32), 'Mean Episode Length': Array(74.591415, dtype=float32)} step=40345600
{'Mean Episode Return': Array(23.125154, dtype=float32), 'Mean Episode Length': Array(74.42024, dtype=float32)} step=40550400
{'Mean Episode Return': Array(23.173077, dtype=float32), 'Mean Episode Length': Array(74.29586, dtype=float32)} step=40755200
{'Mean Episode Return': Array(22.951107, dtype=float32), 'Mean Episode Length': Array(73.62382, dtype=float32)} step=40960000
