{'Mean Episode Return': Array(37.359577, dtype=float32), 'Mean Episode Length': Array(77.48195, dtype=float32)} step=6400000
{'Mean Episode Return': Array(38.3799, dtype=float32), 'Mean Episode Length': Array(78.84736, dtype=float32)} step=6451200
{'Mean Episode Return': Array(37.21684, dtype=float32), 'Mean Episode Length': Array(77.725, dtype=float32)} step=6502400
{'Mean Episode Return': Array(36.91549, dtype=float32), 'Mean Episode Length': Array(78.158226, dtype=float32)} step=6553600
{'Mean Episode Return': Array(37.291103, dtype=float32), 'Mean Episode Length': Array(79.45675, dtype=float32)} step=6604800
{'Mean Episode Return': Array(36.660454, dtype=float32), 'Mean Episode Length': Array(77.65501, dtype=float32)} step=6656000
{'Mean Episode Return': Array(38.292202, dtype=float32), 'Mean Episode Length': Array(80.48036, dtype=float32)} step=6707200
{'Mean Episode Return': Array(38.067318, dtype=float32), 'Mean Episode Length': Array(78.2986, dtype=float32)} step=6758400
{'Mean Episode Return': Array(38.31313, dtype=float32), 'Mean Episode Length': Array(77.752975, dtype=float32)} step=6809600
{'Mean Episode Return': Array(37.550983, dtype=float32), 'Mean Episode Length': Array(76.63031, dtype=float32)} step=6860800
{'Mean Episode Return': Array(38.748116, dtype=float32), 'Mean Episode Length': Array(77.96928, dtype=float32)} step=6912000
{'Mean Episode Return': Array(39.965218, dtype=float32), 'Mean Episode Length': Array(80.57895, dtype=float32)} step=6963200
{'Mean Episode Return': Array(39.718967, dtype=float32), 'Mean Episode Length': Array(78.76274, dtype=float32)} step=7014400
{'Mean Episode Return': Array(39.318493, dtype=float32), 'Mean Episode Length': Array(78.56888, dtype=float32)} step=7065600
{'Mean Episode Return': Array(39.704773, dtype=float32), 'Mean Episode Length': Array(78.92426, dtype=float32)} step=7116800
{'Mean Episode Return': Array(40.70644, dtype=float32), 'Mean Episode Length': Array(81.40159, dtype=float32)} step=7168000
{'Mean Episode Return': Array(40.242733, dtype=float32), 'Mean Episode Length': Array(80.16458, dtype=float32)} step=7219200
{'Mean Episode Return': Array(40.67671, dtype=float32), 'Mean Episode Length': Array(80.405365, dtype=float32)} step=7270400
{'Mean Episode Return': Array(40.63161, dtype=float32), 'Mean Episode Length': Array(80.8496, dtype=float32)} step=7321600
{'Mean Episode Return': Array(40.899704, dtype=float32), 'Mean Episode Length': Array(81.16032, dtype=float32)} step=7372800
{'Mean Episode Return': Array(40.931927, dtype=float32), 'Mean Episode Length': Array(80.99841, dtype=float32)} step=7424000
{'Mean Episode Return': Array(41.590225, dtype=float32), 'Mean Episode Length': Array(82.703766, dtype=float32)} step=7475200
{'Mean Episode Return': Array(42.551136, dtype=float32), 'Mean Episode Length': Array(84.31496, dtype=float32)} step=7526400
{'Mean Episode Return': Array(41.545307, dtype=float32), 'Mean Episode Length': Array(82.55652, dtype=float32)} step=7577600
{'Mean Episode Return': Array(42.348278, dtype=float32), 'Mean Episode Length': Array(84.62023, dtype=float32)} step=7628800
{'Mean Episode Return': Array(43.212826, dtype=float32), 'Mean Episode Length': Array(86.457565, dtype=float32)} step=7680000
{'Mean Episode Return': Array(42.718124, dtype=float32), 'Mean Episode Length': Array(84.4359, dtype=float32)} step=7731200
{'Mean Episode Return': Array(40.59102, dtype=float32), 'Mean Episode Length': Array(80.83189, dtype=float32)} step=7782400
{'Mean Episode Return': Array(38.87955, dtype=float32), 'Mean Episode Length': Array(78.68157, dtype=float32)} step=7833600
{'Mean Episode Return': Array(42.392494, dtype=float32), 'Mean Episode Length': Array(84.95103, dtype=float32)} step=7884800
{'Mean Episode Return': Array(41.479637, dtype=float32), 'Mean Episode Length': Array(83.29043, dtype=float32)} step=7936000
{'Mean Episode Return': Array(42.292225, dtype=float32), 'Mean Episode Length': Array(84.08985, dtype=float32)} step=7987200
{'Mean Episode Return': Array(43.392952, dtype=float32), 'Mean Episode Length': Array(86.19338, dtype=float32)} step=8038400
{'Mean Episode Return': Array(43.47098, dtype=float32), 'Mean Episode Length': Array(86.49593, dtype=float32)} step=8089600
{'Mean Episode Return': Array(43.072464, dtype=float32), 'Mean Episode Length': Array(85.16918, dtype=float32)} step=8140800
{'Mean Episode Return': Array(43.573772, dtype=float32), 'Mean Episode Length': Array(86.32269, dtype=float32)} step=8192000
{'Mean Episode Return': Array(43.679905, dtype=float32), 'Mean Episode Length': Array(85.78646, dtype=float32)} step=8243200
{'Mean Episode Return': Array(45.294712, dtype=float32), 'Mean Episode Length': Array(88.15646, dtype=float32)} step=8294400
{'Mean Episode Return': Array(44.12398, dtype=float32), 'Mean Episode Length': Array(86.426445, dtype=float32)} step=8345600
{'Mean Episode Return': Array(44.103817, dtype=float32), 'Mean Episode Length': Array(86.15736, dtype=float32)} step=8396800
{'Mean Episode Return': Array(44.4562, dtype=float32), 'Mean Episode Length': Array(86.6362, dtype=float32)} step=8448000
{'Mean Episode Return': Array(43.823963, dtype=float32), 'Mean Episode Length': Array(87.1264, dtype=float32)} step=8499200
{'Mean Episode Return': Array(43.763466, dtype=float32), 'Mean Episode Length': Array(87.691315, dtype=float32)} step=8550400
{'Mean Episode Return': Array(45.438362, dtype=float32), 'Mean Episode Length': Array(90.632126, dtype=float32)} step=8601600
{'Mean Episode Return': Array(44.95569, dtype=float32), 'Mean Episode Length': Array(88.66948, dtype=float32)} step=8652800
{'Mean Episode Return': Array(44.260757, dtype=float32), 'Mean Episode Length': Array(86.689255, dtype=float32)} step=8704000
{'Mean Episode Return': Array(43.624413, dtype=float32), 'Mean Episode Length': Array(85.98255, dtype=float32)} step=8755200
{'Mean Episode Return': Array(43.996456, dtype=float32), 'Mean Episode Length': Array(88.01552, dtype=float32)} step=8806400
{'Mean Episode Return': Array(44.53489, dtype=float32), 'Mean Episode Length': Array(88.32984, dtype=float32)} step=8857600
{'Mean Episode Return': Array(45.98764, dtype=float32), 'Mean Episode Length': Array(89.78049, dtype=float32)} step=8908800
{'Mean Episode Return': Array(45.117977, dtype=float32), 'Mean Episode Length': Array(86.71266, dtype=float32)} step=8960000
{'Mean Episode Return': Array(45.21393, dtype=float32), 'Mean Episode Length': Array(86.63993, dtype=float32)} step=9011200
{'Mean Episode Return': Array(44.931053, dtype=float32), 'Mean Episode Length': Array(86.61613, dtype=float32)} step=9062400
{'Mean Episode Return': Array(43.89554, dtype=float32), 'Mean Episode Length': Array(84.85131, dtype=float32)} step=9113600
{'Mean Episode Return': Array(44.091095, dtype=float32), 'Mean Episode Length': Array(85.38624, dtype=float32)} step=9164800
{'Mean Episode Return': Array(44.73939, dtype=float32), 'Mean Episode Length': Array(86.8339, dtype=float32)} step=9216000
{'Mean Episode Return': Array(45.972622, dtype=float32), 'Mean Episode Length': Array(89.6414, dtype=float32)} step=9267200
{'Mean Episode Return': Array(46.485687, dtype=float32), 'Mean Episode Length': Array(90.32578, dtype=float32)} step=9318400
{'Mean Episode Return': Array(46.854202, dtype=float32), 'Mean Episode Length': Array(90.821815, dtype=float32)} step=9369600
{'Mean Episode Return': Array(47.14043, dtype=float32), 'Mean Episode Length': Array(91.63637, dtype=float32)} step=9420800
{'Mean Episode Return': Array(46.140465, dtype=float32), 'Mean Episode Length': Array(89.44674, dtype=float32)} step=9472000
{'Mean Episode Return': Array(46.04605, dtype=float32), 'Mean Episode Length': Array(88.8017, dtype=float32)} step=9523200
{'Mean Episode Return': Array(44.029247, dtype=float32), 'Mean Episode Length': Array(85.44623, dtype=float32)} step=9574400
{'Mean Episode Return': Array(41.878784, dtype=float32), 'Mean Episode Length': Array(82., dtype=float32)} step=9625600
{'Mean Episode Return': Array(43.514572, dtype=float32), 'Mean Episode Length': Array(87.15202, dtype=float32)} step=9676800
{'Mean Episode Return': Array(42.99217, dtype=float32), 'Mean Episode Length': Array(85.99154, dtype=float32)} step=9728000
{'Mean Episode Return': Array(43.849613, dtype=float32), 'Mean Episode Length': Array(88.273224, dtype=float32)} step=9779200
